borough,community_board,permit_year,total_permits,new_buildings,major_alterations,avg_approval_lag,permit_growth_yoy,permits_3yr_avg
Bronx,201.0,2015,1,1,0,,,1.0
Bronx,201.0,2017,2,2,0,0.0,1.0,1.5
Bronx,201.0,2020,1,1,0,0.0,-0.5,1.3333333333333333
Bronx,202.0,2016,1,1,0,0.0,,1.0
Bronx,202.0,2019,1,1,0,0.0,0.0,1.0
Bronx,204.0,2016,1,1,0,0.0,,1.0
Bronx,204.0,2018,1,1,0,0.0,0.0,1.0
Bronx,204.0,2019,1,1,0,0.0,0.0,1.0
Bronx,205.0,2017,1,1,0,0.0,,1.0
Bronx,205.0,2019,1,1,0,1.0,0.0,1.0
Bronx,206.0,2015,2,2,0,3.5,,2.0
Bronx,206.0,2016,5,5,0,0.0,1.5,3.5
Bronx,206.0,2018,3,3,0,0.0,-0.4,3.3333333333333335
Bronx,207.0,2017,1,1,0,0.0,,1.0
Bronx,207.0,2018,1,1,0,0.0,0.0,1.0
Bronx,207.0,2019,1,1,0,62.0,0.0,1.0
Bronx,208.0,2015,1,1,0,0.0,,1.0
Bronx,208.0,2016,1,1,0,0.0,0.0,1.0
Bronx,208.0,2017,1,1,0,285.0,0.0,1.0
Bronx,209.0,2015,1,1,0,0.0,,1.0
Bronx,209.0,2016,1,1,0,0.0,0.0,1.0
Bronx,209.0,2018,2,2,0,3.5,1.0,1.3333333333333333
Bronx,209.0,2019,1,1,0,0.0,-0.5,1.3333333333333333
Bronx,210.0,2015,1,1,0,0.0,,1.0
Bronx,210.0,2016,1,1,0,0.0,0.0,1.0
Bronx,210.0,2017,1,1,0,0.0,0.0,1.0
Bronx,210.0,2019,2,2,0,0.0,1.0,1.3333333333333333
Bronx,211.0,2019,2,2,0,0.0,,2.0
Bronx,212.0,2019,1,1,0,9.0,,1.0
Brooklyn,301.0,2015,4,4,0,0.0,,4.0
Brooklyn,301.0,2016,2,2,0,0.0,-0.5,3.0
Brooklyn,301.0,2017,4,4,0,0.75,1.0,3.3333333333333335
Brooklyn,301.0,2018,3,3,0,1.0,-0.25,3.0
Brooklyn,301.0,2019,3,3,0,2.0,0.0,3.3333333333333335
Brooklyn,302.0,2016,1,1,0,0.0,,1.0
Brooklyn,302.0,2017,1,1,0,0.0,0.0,1.0
Brooklyn,302.0,2018,2,2,0,0.0,1.0,1.3333333333333333
Brooklyn,302.0,2019,2,2,0,0.0,0.0,1.6666666666666667
Brooklyn,303.0,2015,4,4,0,0.0,,4.0
Brooklyn,303.0,2016,4,4,0,0.0,0.0,4.0
Brooklyn,303.0,2017,3,3,0,0.0,-0.25,3.6666666666666665
Brooklyn,303.0,2018,6,6,0,0.0,1.0,4.333333333333333
Brooklyn,303.0,2019,8,8,0,0.0,0.33333333333333326,5.666666666666667
Brooklyn,303.0,2020,1,1,0,0.0,-0.875,5.0
Brooklyn,304.0,2016,4,4,0,61.75,,4.0
Brooklyn,304.0,2017,2,2,0,0.0,-0.5,3.0
Brooklyn,304.0,2018,2,2,0,4.5,0.0,2.6666666666666665
Brooklyn,304.0,2019,4,4,0,0.0,1.0,2.6666666666666665
Brooklyn,304.0,2020,1,1,0,0.0,-0.75,2.3333333333333335
Brooklyn,305.0,2015,1,1,0,0.0,,1.0
Brooklyn,305.0,2016,1,1,0,0.0,0.0,1.0
Brooklyn,305.0,2017,2,2,0,0.0,1.0,1.3333333333333333
Brooklyn,305.0,2018,1,1,0,0.0,-0.5,1.3333333333333333
Brooklyn,305.0,2019,2,2,0,0.0,1.0,1.6666666666666667
Brooklyn,305.0,2020,1,1,0,0.0,-0.5,1.3333333333333333
Brooklyn,306.0,2016,2,2,0,90.5,,2.0
Brooklyn,306.0,2017,4,4,0,0.0,1.0,3.0
Brooklyn,306.0,2018,3,3,0,0.0,-0.25,3.0
Brooklyn,306.0,2019,1,1,0,0.0,-0.6666666666666667,2.6666666666666665
Brooklyn,307.0,2015,2,2,0,0.0,,2.0
Brooklyn,307.0,2016,1,1,0,13.0,-0.5,1.5
Brooklyn,307.0,2018,2,2,0,12.5,1.0,1.6666666666666667
Brooklyn,307.0,2019,1,1,0,0.0,-0.5,1.3333333333333333
Brooklyn,308.0,2016,3,3,0,9.0,,3.0
Brooklyn,308.0,2017,2,2,0,0.0,-0.33333333333333337,2.5
Brooklyn,308.0,2018,1,1,0,0.0,-0.5,2.0
Brooklyn,308.0,2019,2,2,0,0.0,1.0,1.6666666666666667
Brooklyn,309.0,2015,2,2,0,0.0,,2.0
Brooklyn,309.0,2016,1,1,0,15.0,-0.5,1.5
Brooklyn,309.0,2018,1,1,0,0.0,0.0,1.3333333333333333
Brooklyn,309.0,2019,2,2,0,0.0,1.0,1.3333333333333333
Brooklyn,310.0,2017,1,1,0,0.0,,1.0
Brooklyn,310.0,2018,1,1,0,0.0,0.0,1.0
Brooklyn,310.0,2019,1,1,0,0.0,0.0,1.0
Brooklyn,310.0,2020,1,1,0,0.0,0.0,1.0
Brooklyn,311.0,2015,1,1,0,0.0,,1.0
Brooklyn,311.0,2018,1,1,0,0.0,0.0,1.0
Brooklyn,311.0,2019,1,1,0,0.0,0.0,1.0
Brooklyn,312.0,2015,3,3,0,0.3333333333333333,,3.0
Brooklyn,312.0,2016,1,1,0,0.0,-0.6666666666666667,2.0
Brooklyn,312.0,2017,3,3,0,0.0,2.0,2.3333333333333335
Brooklyn,312.0,2018,1,1,0,0.0,-0.6666666666666667,1.6666666666666667
Brooklyn,312.0,2019,1,1,0,0.0,0.0,1.6666666666666667
Brooklyn,313.0,2017,1,1,0,0.0,,1.0
Brooklyn,313.0,2019,2,2,0,9.5,1.0,1.5
Brooklyn,314.0,2015,1,1,0,0.0,,1.0
Brooklyn,314.0,2019,1,1,0,0.0,0.0,1.0
Brooklyn,315.0,2015,2,2,0,0.5,,2.0
Brooklyn,315.0,2016,2,2,0,2.5,0.0,2.0
Brooklyn,315.0,2017,2,2,0,0.0,0.0,2.0
Brooklyn,315.0,2018,2,2,0,0.5,0.0,2.0
Brooklyn,315.0,2019,3,3,0,0.0,0.5,2.3333333333333335
Brooklyn,316.0,2019,1,1,0,0.0,,1.0
Brooklyn,317.0,2016,2,2,0,0.0,,2.0
Brooklyn,317.0,2017,2,2,0,0.0,0.0,2.0
Manhattan,101.0,2016,1,1,0,13.0,,1.0
Manhattan,101.0,2017,1,1,0,0.0,0.0,1.0
Manhattan,102.0,2017,1,1,0,0.0,,1.0
Manhattan,102.0,2019,2,2,0,0.0,1.0,1.5
Manhattan,103.0,2015,2,2,0,1.0,,2.0
Manhattan,103.0,2016,1,1,0,1.0,-0.5,1.5
Manhattan,103.0,2017,1,1,0,0.0,0.0,1.3333333333333333
Manhattan,103.0,2018,2,2,0,0.0,1.0,1.3333333333333333
Manhattan,103.0,2020,1,1,0,0.0,-0.5,1.3333333333333333
Manhattan,104.0,2017,1,1,0,0.0,,1.0
Manhattan,104.0,2018,1,1,0,0.0,0.0,1.0
Manhattan,104.0,2019,3,3,0,0.0,2.0,1.6666666666666667
Manhattan,104.0,2020,1,1,0,1.0,-0.6666666666666667,1.6666666666666667
Manhattan,105.0,2015,1,1,0,0.0,,1.0
Manhattan,105.0,2016,1,1,0,0.0,0.0,1.0
Manhattan,105.0,2017,2,2,0,0.5,1.0,1.3333333333333333
Manhattan,105.0,2018,2,2,0,0.0,0.0,1.6666666666666667
Manhattan,105.0,2019,1,1,0,0.0,-0.5,1.6666666666666667
Manhattan,106.0,2019,1,1,0,0.0,,1.0
Manhattan,107.0,2019,1,1,0,0.0,,1.0
Manhattan,108.0,2015,1,1,0,0.0,,1.0
Manhattan,108.0,2016,1,1,0,0.0,0.0,1.0
Manhattan,108.0,2017,1,1,0,0.0,0.0,1.0
Manhattan,108.0,2020,2,2,0,4.5,1.0,1.3333333333333333
Manhattan,109.0,2018,1,1,0,0.0,,1.0
Manhattan,110.0,2015,1,1,0,0.0,,1.0
Manhattan,110.0,2020,1,1,0,3.0,0.0,1.0
Manhattan,111.0,2016,1,1,0,0.0,,1.0
Manhattan,111.0,2019,1,1,0,0.0,0.0,1.0
Manhattan,112.0,2016,1,1,0,0.0,,1.0
Queens,401.0,2015,2,2,0,84.5,,2.0
Queens,401.0,2016,2,2,0,0.0,0.0,2.0
Queens,401.0,2017,3,3,0,0.0,0.5,2.3333333333333335
Queens,401.0,2018,1,1,0,0.0,-0.6666666666666667,2.0
Queens,401.0,2019,2,2,0,0.0,1.0,2.0
Queens,402.0,2015,1,1,0,2.0,,1.0
Queens,402.0,2016,1,1,0,0.0,0.0,1.0
Queens,402.0,2017,2,2,0,1.0,1.0,1.3333333333333333
Queens,402.0,2018,1,1,0,,-0.5,1.3333333333333333
Queens,402.0,2019,5,5,0,0.0,4.0,2.6666666666666665
Queens,402.0,2020,1,1,0,0.0,-0.8,2.3333333333333335
Queens,403.0,2016,1,1,0,0.0,,1.0
Queens,403.0,2017,1,1,0,0.0,0.0,1.0
Queens,404.0,2015,1,1,0,14.0,,1.0
Queens,404.0,2016,1,1,0,3.0,0.0,1.0
Queens,404.0,2017,2,2,0,0.5,1.0,1.3333333333333333
Queens,404.0,2019,1,1,0,0.0,-0.5,1.3333333333333333
Queens,405.0,2016,1,1,0,0.0,,1.0
Queens,405.0,2018,1,1,0,7.0,0.0,1.0
Queens,405.0,2019,1,1,0,0.0,0.0,1.0
Queens,406.0,2015,1,1,0,0.0,,1.0
Queens,406.0,2016,2,2,0,0.0,1.0,1.5
Queens,406.0,2018,1,1,0,0.0,-0.5,1.3333333333333333
Queens,406.0,2020,1,1,0,0.0,0.0,1.3333333333333333
Queens,407.0,2015,1,1,0,3.0,,1.0
Queens,407.0,2016,5,5,0,2.2,4.0,3.0
Queens,407.0,2017,7,7,0,8.0,0.3999999999999999,4.333333333333333
Queens,407.0,2018,3,3,0,37.333333333333336,-0.5714285714285714,5.0
Queens,407.0,2019,8,8,0,14.75,1.6666666666666665,6.0
Queens,407.0,2020,3,3,0,0.0,-0.625,4.666666666666667
Queens,408.0,2015,1,1,0,0.0,,1.0
Queens,408.0,2017,1,1,0,0.0,0.0,1.0
Queens,408.0,2019,1,1,0,0.0,0.0,1.0
Queens,409.0,2016,2,2,0,0.0,,2.0
Queens,409.0,2019,1,1,0,0.0,-0.5,1.5
Queens,410.0,2015,1,1,0,0.0,,1.0
Queens,410.0,2018,3,3,0,0.0,2.0,2.0
Queens,410.0,2019,1,1,0,0.0,-0.6666666666666667,1.6666666666666667
Queens,411.0,2015,2,2,0,0.0,,2.0
Queens,411.0,2016,1,1,0,0.0,-0.5,1.5
Queens,411.0,2019,6,6,0,0.0,5.0,3.0
Queens,412.0,2015,2,2,0,0.0,,2.0
Queens,412.0,2016,1,1,0,0.0,-0.5,1.5
Queens,412.0,2017,3,3,0,0.0,2.0,2.0
Queens,412.0,2018,6,6,0,2.3333333333333335,1.0,3.3333333333333335
Queens,412.0,2020,1,1,0,0.0,-0.8333333333333334,3.3333333333333335
Queens,413.0,2016,2,2,0,14.5,,2.0
Queens,413.0,2017,2,2,0,0.0,0.0,2.0
Queens,413.0,2018,2,2,0,0.0,0.0,2.0
Queens,413.0,2019,1,1,0,0.0,-0.5,1.6666666666666667
Queens,414.0,2015,3,3,0,0.0,,3.0
Queens,414.0,2016,6,6,0,0.0,1.0,4.5
Queens,414.0,2017,3,3,0,0.0,-0.5,4.0
Queens,414.0,2018,5,5,0,0.4,0.6666666666666667,4.666666666666667
Queens,414.0,2019,2,2,0,0.0,-0.6,3.3333333333333335
Staten Island,501.0,2016,1,1,0,0.0,,1.0
Staten Island,501.0,2017,4,4,0,0.0,3.0,2.5
Staten Island,501.0,2018,3,3,0,0.0,-0.25,2.6666666666666665
Staten Island,501.0,2019,3,3,0,0.0,0.0,3.3333333333333335
Staten Island,501.0,2020,1,1,0,0.0,-0.6666666666666667,2.3333333333333335
Staten Island,502.0,2015,2,2,0,0.0,,2.0
Staten Island,502.0,2016,1,1,0,0.0,-0.5,1.5
Staten Island,502.0,2017,5,5,0,0.0,4.0,2.6666666666666665
Staten Island,502.0,2018,1,1,0,0.0,-0.8,2.3333333333333335
Staten Island,502.0,2019,1,1,0,0.0,0.0,2.3333333333333335
Staten Island,502.0,2020,2,2,0,0.0,1.0,1.3333333333333333
Staten Island,503.0,2016,6,6,0,2.3333333333333335,,6.0
Staten Island,503.0,2017,1,1,0,0.0,-0.8333333333333334,3.5
Staten Island,503.0,2018,6,6,0,0.5,5.0,4.333333333333333
Staten Island,503.0,2019,2,2,0,0.0,-0.6666666666666667,3.0
Staten Island,503.0,2020,3,3,0,0.0,0.5,3.6666666666666665
