borough,bin,block,lot,community_board,filing_date,issuance_date,permit_type,job_type,permit_year,permit_month,approval_lag_days,is_new_building
Brooklyn,3418414,1240,69,308.0,2017-01-30,2017-01-30,NB,NB,2017,1,0.0,1
Bronx,2127138,5599,41,210.0,2016-11-04,2016-11-04,NB,NB,2016,11,0.0,1
Queens,4105800,4666,29,407.0,2016-06-30,2016-06-30,NB,NB,2016,6,0.0,1
Queens,4595522,1878,2,404.0,2017-04-03,2017-04-03,NB,NB,2017,4,0.0,1
Bronx,2129380,5416,125,210.0,2019-08-23,2019-08-23,NB,NB,2019,8,0.0,1
Queens,4594816,1999,67,404.0,2016-05-13,2016-05-16,NB,NB,2016,5,3.0,1
Brooklyn,3396741,2135,35,301.0,2015-12-29,2015-12-29,NB,NB,2015,12,0.0,1
Staten Island,5166652,3734,20,502.0,2017-08-17,2017-08-17,NB,NB,2017,8,0.0,1
Brooklyn,3418441,5500,25,312.0,2016-09-02,2016-09-02,NB,NB,2016,9,0.0,1
Queens,4607930,4683,47,407.0,2017-01-03,2017-02-28,NB,NB,2017,1,56.0,1
Bronx,2002238,2433,67,204.0,2016-04-20,2016-04-20,NB,NB,2016,4,0.0,1
Manhattan,1088841,806,34,105.0,2016-09-29,2016-09-29,NB,NB,2016,9,0.0,1
Queens,4594845,11555,8,410.0,2019-08-27,2019-08-27,NB,NB,2019,8,0.0,1
Queens,4596388,15905,302,,2015-10-23,2015-10-23,NB,NB,2015,10,0.0,1
Brooklyn,3421654,8900,988,315.0,2015-06-09,2015-06-09,NB,NB,2015,6,0.0,1
Brooklyn,3413946,4819,11,309.0,2016-01-06,2016-01-21,NB,NB,2016,1,15.0,1
Brooklyn,3393247,1222,67,308.0,2016-09-02,2016-09-29,NB,NB,2016,9,27.0,1
Queens,4073661,3123,27,406.0,2016-05-18,2016-05-18,NB,NB,2016,5,0.0,1
Bronx,2128352,5330,31,210.0,2017-07-28,2017-07-28,NB,NB,2017,7,0.0,1
Bronx,2124391,2960,111,206.0,2015-06-30,2015-06-30,NB,NB,2015,6,0.0,1
Brooklyn,3414051,4884,50,317.0,2016-09-16,2016-09-16,NB,NB,2016,9,0.0,1
Staten Island,5166724,7884,5,503.0,2016-09-09,2016-09-09,NB,NB,2016,9,0.0,1
Brooklyn,3418326,5090,86,317.0,2017-09-15,2017-09-15,NB,NB,2017,9,0.0,1
Manhattan,1090211,441,7504,103.0,2017-05-18,2017-05-18,NB,NB,2017,5,0.0,1
Brooklyn,3396269,1146,46,308.0,2017-02-10,2017-02-10,NB,NB,2017,2,0.0,1
Staten Island,5169462,302,18,501.0,2017-10-26,2017-10-26,NB,NB,2017,10,0.0,1
Brooklyn,3425059,1140,55,308.0,2019-08-30,2019-08-30,NB,NB,2019,8,0.0,1
Brooklyn,3154221,6066,26,310.0,2019-08-30,2019-08-30,NB,NB,2019,8,0.0,1
Brooklyn,3394438,1973,2,303.0,2016-08-29,,NB,NB,2016,8,,1
Queens,4595504,10214,40,412.0,2017-01-31,2017-01-31,NB,NB,2017,1,0.0,1
Brooklyn,3411750,8743,42,315.0,2017-03-29,2017-03-29,NB,NB,2017,3,0.0,1
Brooklyn,3418241,556,118,306.0,2016-10-25,2017-04-24,NB,NB,2016,10,181.0,1
Queens,4136781,6188,4,411.0,2016-09-29,2016-09-29,NB,NB,2016,9,0.0,1
Manhattan,1089701,863,18,105.0,2017-10-19,2017-10-19,NB,NB,2017,10,0.0,1
Bronx,2816970,3179,60,205.0,2017-03-31,2017-03-31,NB,NB,2017,3,0.0,1
Brooklyn,3398314,4452,325,305.0,2015-12-07,2015-12-07,NB,NB,2015,12,0.0,1
Bronx,2831310,2617,13,201.0,2015-10-29,,NB,NB,2015,10,,1
Brooklyn,3010209,685,48,307.0,2015-09-02,2015-09-02,NB,NB,2015,9,0.0,1
Brooklyn,3076576,3349,45,304.0,2017-02-21,2017-02-21,NB,NB,2017,2,0.0,1
Brooklyn,3413716,940,111,306.0,2017-08-22,2017-08-22,NB,NB,2017,8,0.0,1
Staten Island,5168748,1196,47,501.0,2016-08-18,2016-08-18,NB,NB,2016,8,0.0,1
Queens,4072821,3103,71,406.0,2015-11-24,2015-11-24,NB,NB,2015,11,0.0,1
Queens,4616948,15609,6,414.0,2016-08-03,2016-08-03,NB,NB,2016,8,0.0,1
Brooklyn,3397041,8665,533,313.0,2019-07-25,2019-07-25,NB,NB,2019,7,0.0,1
Queens,4198273,9417,42,409.0,2016-02-01,2016-02-01,NB,NB,2016,2,0.0,1
Queens,4607550,15579,41,414.0,2016-11-03,2016-11-03,NB,NB,2016,11,0.0,1
Manhattan,1082759,72,7,101.0,2016-03-24,2016-04-06,NB,NB,2016,3,13.0,1
Manhattan,1089953,394,10,103.0,2015-12-31,2015-12-31,NB,NB,2015,12,0.0,1
Manhattan,1088696,451,48,103.0,2015-06-16,2015-06-18,NB,NB,2015,6,2.0,1
Queens,4177855,8706,43,413.0,2016-04-14,2016-05-13,NB,NB,2016,4,29.0,1
Staten Island,5159158,4444,35,503.0,2016-07-20,2016-07-22,NB,NB,2016,7,2.0,1
Manhattan,1047589,1510,59,108.0,2017-07-26,2017-07-26,NB,NB,2017,7,0.0,1
Queens,4596290,15905,51,,2016-06-24,2016-06-24,NB,NB,2016,6,0.0,1
Brooklyn,3191743,7105,160,315.0,2016-07-21,2016-07-21,NB,NB,2016,7,0.0,1
Staten Island,5160440,6110,50,503.0,2016-01-19,2016-01-19,NB,NB,2016,1,0.0,1
Queens,4114969,5062,6,407.0,2017-10-13,2017-10-13,NB,NB,2017,10,0.0,1
Bronx,2119435,5643,235,210.0,2015-04-22,2015-04-22,NB,NB,2015,4,0.0,1
Queens,4292514,13962,105,410.0,2015-03-18,2015-03-18,NB,NB,2015,3,0.0,1
Brooklyn,3138179,5651,60,312.0,2017-07-21,2017-07-21,NB,NB,2017,7,0.0,1
Queens,4862876,1536,13,404.0,2015-08-04,2015-08-18,NB,NB,2015,8,14.0,1
Staten Island,5152953,498,71,501.0,2017-10-19,2017-10-19,NB,NB,2017,10,0.0,1
Brooklyn,3138180,5651,62,312.0,2017-07-21,2017-07-21,NB,NB,2017,7,0.0,1
Queens,4615287,16350,300,414.0,2015-04-30,2015-04-30,NB,NB,2015,4,0.0,1
Staten Island,5105764,3801,7,502.0,2016-11-28,2016-11-28,NB,NB,2016,11,0.0,1
Bronx,2127372,3436,133,209.0,2016-06-28,2016-06-28,NB,NB,2016,6,0.0,1
Bronx,2130350,4340,8,211.0,2019-09-13,2019-09-13,NB,NB,2019,9,0.0,1
Queens,4036396,1479,11,403.0,2017-10-25,2017-10-25,NB,NB,2017,10,0.0,1
Queens,4050465,2091,20,406.0,2016-03-20,2016-03-20,NB,NB,2016,3,0.0,1
Queens,4213816,9982,23,412.0,2017-03-22,2017-03-22,NB,NB,2017,3,0.0,1
Queens,4607522,13299,19,413.0,2017-07-14,2017-07-14,NB,NB,2017,7,0.0,1
Manhattan,1060014,2006,61,110.0,2015-05-15,2015-05-15,NB,NB,2015,5,0.0,1
Bronx,2127259,3048,39,206.0,2016-06-30,2016-06-30,NB,NB,2016,6,0.0,1
Brooklyn,3398391,2033,21,302.0,2016-03-10,2016-03-10,NB,NB,2016,3,0.0,1
Queens,4466185,16350,400,414.0,2015-11-13,2015-11-13,NB,NB,2015,11,0.0,1
Queens,4594868,8229,87,411.0,2015-04-08,2015-04-08,NB,NB,2015,4,0.0,1
Queens,4106353,4685,3,407.0,2016-06-30,2016-06-30,NB,NB,2016,6,0.0,1
Staten Island,5169577,6371,52,503.0,2017-10-25,2017-10-25,NB,NB,2017,10,0.0,1
Brooklyn,3338163,2771,1,301.0,2016-01-07,2016-01-07,NB,NB,2016,1,0.0,1
Queens,4177288,8680,66,413.0,2016-03-11,2016-03-11,NB,NB,2016,3,0.0,1
Brooklyn,3007509,447,53,306.0,2019-09-19,2019-09-19,NB,NB,2019,9,0.0,1
Queens,4004941,408,25,401.0,2016-11-03,2016-11-03,NB,NB,2016,11,0.0,1
Queens,4541422,15962,100,414.0,2016-01-15,2016-01-15,NB,NB,2016,1,0.0,1
Queens,4005696,516,34,401.0,2017-07-17,2017-07-17,NB,NB,2017,7,0.0,1
Staten Island,5171546,3284,76,502.0,2020-01-24,2020-01-24,NB,NB,2020,1,0.0,1
Queens,4607406,13912,204,413.0,2017-03-07,2017-03-07,NB,NB,2017,3,0.0,1
Brooklyn,3114633,5026,185,309.0,2015-07-22,2015-07-22,NB,NB,2015,7,0.0,1
Queens,4615127,2327,38,402.0,2017-04-06,2017-04-06,NB,NB,2017,4,0.0,1
Brooklyn,3408189,2336,38,301.0,2017-07-24,2017-07-24,NB,NB,2017,7,0.0,1
Bronx,2829742,5839,4018,208.0,2016-01-13,2016-01-13,NB,NB,2016,1,0.0,1
Queens,4315164,1892,84,404.0,2017-07-20,2017-07-21,NB,NB,2017,7,1.0,1
Queens,4616926,15608,56,414.0,2017-08-25,2017-08-25,NB,NB,2017,8,0.0,1
Brooklyn,3398251,1817,52,303.0,2016-08-10,2016-08-10,NB,NB,2016,8,0.0,1
Queens,4595992,2429,40,402.0,2015-10-27,2015-10-29,NB,NB,2015,10,2.0,1
Bronx,2120278,3016,38,206.0,2015-07-01,2015-07-08,NB,NB,2015,7,7.0,1
Queens,4217954,10231,122,412.0,2015-08-06,2015-08-06,NB,NB,2015,8,0.0,1
Manhattan,1089737,2118,52,112.0,2016-05-11,2016-05-11,NB,NB,2016,5,0.0,1
Queens,4114728,5050,56,407.0,2015-03-06,2015-03-09,NB,NB,2015,3,3.0,1
Queens,4266105,12272,6,412.0,2015-11-20,2015-11-20,NB,NB,2015,11,0.0,1
Brooklyn,3397125,7470,39,315.0,2015-03-26,2015-03-27,NB,NB,2015,3,1.0,1
Queens,4596254,12335,61,412.0,2016-08-10,2016-08-10,NB,NB,2016,8,0.0,1
Bronx,2127337,2724,103,202.0,2016-12-21,2016-12-21,NB,NB,2016,12,0.0,1
Brooklyn,3426921,7290,59,315.0,2019-05-08,2019-05-08,NB,NB,2019,5,0.0,1
Brooklyn,3398247,4452,301,305.0,2017-01-23,2017-01-23,NB,NB,2017,1,0.0,1
Staten Island,5165166,138,111,501.0,2017-08-09,2017-08-09,NB,NB,2017,8,0.0,1
Brooklyn,3171429,6534,6,312.0,2015-11-09,2015-11-10,NB,NB,2015,11,1.0,1
Bronx,2129272,3474,8,209.0,2019-09-25,2019-09-25,NB,NB,2019,9,0.0,1
Manhattan,1035787,1292,47,105.0,2015-09-29,2015-09-29,NB,NB,2015,9,0.0,1
Staten Island,5170298,1074,43,501.0,2020-01-27,2020-01-27,NB,NB,2020,1,0.0,1
Brooklyn,3424166,2245,62,301.0,2017-08-30,2017-08-30,NB,NB,2017,8,0.0,1
Queens,4615095,16195,21,414.0,2016-12-05,2016-12-05,NB,NB,2016,12,0.0,1
Staten Island,5166331,6670,109,503.0,2016-03-22,2016-03-22,NB,NB,2016,3,0.0,1
Brooklyn,3396269,1146,46,308.0,2016-03-10,2016-03-10,NB,NB,2016,3,0.0,1
Staten Island,5054505,3790,56,502.0,2017-05-19,2017-05-19,NB,NB,2017,5,0.0,1
Manhattan,1090807,879,25,106.0,2019-09-27,2019-09-27,NB,NB,2019,9,0.0,1
Queens,4617559,6175,6,411.0,2015-10-05,2015-10-05,NB,NB,2015,10,0.0,1
Brooklyn,3425003,3354,8,304.0,2016-06-08,2016-06-08,NB,NB,2016,6,0.0,1
Queens,4607283,600,12,401.0,2016-11-09,2016-11-09,NB,NB,2016,11,0.0,1
Manhattan,1091580,1932,5,110.0,2020-01-24,2020-01-27,NB,NB,2020,1,3.0,1
Brooklyn,3015734,848,22,307.0,2015-06-26,2015-06-26,NB,NB,2015,6,0.0,1
Brooklyn,3425069,5064,36,314.0,2015-06-12,2015-06-12,NB,NB,2015,6,0.0,1
Queens,4198148,9415,41,409.0,2019-09-30,2019-09-30,NB,NB,2019,9,0.0,1
Queens,4597387,755,105,401.0,2017-03-07,2017-03-07,NB,NB,2017,3,0.0,1
Bronx,2129358,3317,17,207.0,2017-03-28,2017-03-28,NB,NB,2017,3,0.0,1
Manhattan,1089828,602,83,102.0,2019-10-01,2019-10-01,NB,NB,2019,10,0.0,1
Brooklyn,3421468,8664,470,313.0,2017-09-06,2017-09-06,NB,NB,2017,9,0.0,1
Queens,4609936,597,7,401.0,2017-06-27,2017-06-27,NB,NB,2017,6,0.0,1
Bronx,2128955,2674,9,201.0,2020-01-28,2020-01-28,NB,NB,2020,1,0.0,1
Brooklyn,3400412,3022,101,301.0,2015-06-29,2015-06-29,NB,NB,2015,6,0.0,1
Queens,4607527,8904,29,409.0,2016-12-16,2016-12-16,NB,NB,2016,12,0.0,1
Queens,4864183,5140,40,407.0,2016-09-08,2016-09-08,NB,NB,2016,9,0.0,1
Staten Island,5164808,5523,60,503.0,2019-10-02,2019-10-02,NB,NB,2019,10,0.0,1
Queens,4607418,16276,44,414.0,2015-07-20,2015-07-20,NB,NB,2015,7,0.0,1
Brooklyn,3006577,409,48,306.0,2017-01-31,2017-01-31,NB,NB,2017,1,0.0,1
Brooklyn,3398273,4452,343,305.0,2017-01-23,2017-01-23,NB,NB,2017,1,0.0,1
Manhattan,1090332,759,55,104.0,2017-03-02,2017-03-02,NB,NB,2017,3,0.0,1
Staten Island,5164359,3893,7,502.0,2015-08-18,2015-08-18,NB,NB,2015,8,0.0,1
Brooklyn,3382733,5635,26,312.0,2015-09-02,2015-09-02,NB,NB,2015,9,0.0,1
Queens,4030858,1320,37,402.0,2019-10-03,2019-10-03,NB,NB,2019,10,0.0,1
Brooklyn,3418101,2472,100,301.0,2015-10-29,2015-10-29,NB,NB,2015,10,0.0,1
Brooklyn,3107423,4819,39,309.0,2015-10-27,2015-10-27,NB,NB,2015,10,0.0,1
Queens,4117439,5202,43,407.0,2017-03-20,2017-03-20,NB,NB,2017,3,0.0,1
Staten Island,5166305,908,47,502.0,2015-09-16,2015-09-16,NB,NB,2015,9,0.0,1
Queens,4829018,3069,63,405.0,2016-10-12,2016-10-12,NB,NB,2016,10,0.0,1
Brooklyn,3423976,2030,47,302.0,2019-10-07,2019-10-07,NB,NB,2019,10,0.0,1
Bronx,2005292,2692,80,202.0,2019-10-07,2019-10-07,NB,NB,2019,10,0.0,1
Queens,4121604,5388,39,407.0,2019-10-07,2019-10-07,NB,NB,2019,10,0.0,1
Brooklyn,3413921,8781,30,315.0,2016-03-24,2016-03-29,NB,NB,2016,3,5.0,1
Brooklyn,3054684,1897,56,303.0,2015-04-20,2015-04-20,NB,NB,2015,4,0.0,1
Bronx,2015974,3262,17,208.0,2015-05-14,2015-05-14,NB,NB,2015,5,0.0,1
Bronx,2015133,3237,60,207.0,2019-08-06,2019-10-07,NB,NB,2019,8,62.0,1
Brooklyn,3421511,4452,413,305.0,2016-09-08,2016-09-08,NB,NB,2016,9,0.0,1
Brooklyn,3403583,3154,36,304.0,2016-01-19,2016-01-19,NB,NB,2016,1,0.0,1
Manhattan,1090374,838,10,105.0,2017-08-30,2017-08-31,NB,NB,2017,8,1.0,1
Staten Island,5165191,5204,14,503.0,2016-07-13,2016-07-25,NB,NB,2016,7,12.0,1
Manhattan,1080924,1050,1,104.0,2019-10-08,2019-10-08,NB,NB,2019,10,0.0,1
Brooklyn,3062160,2333,18,301.0,2017-06-23,2017-06-23,NB,NB,2017,6,0.0,1
Brooklyn,3423327,1593,23,303.0,2015-10-08,2015-10-08,NB,NB,2015,10,0.0,1
Manhattan,1089765,490,28,102.0,2017-07-12,2017-07-12,NB,NB,2017,7,0.0,1
Staten Island,5863505,7094,58,503.0,2016-06-21,2016-06-21,NB,NB,2016,6,0.0,1
Manhattan,1001244,89,3,101.0,2017-02-24,2017-02-24,NB,NB,2017,2,0.0,1
Brooklyn,3330686,1254,26,308.0,2016-01-19,2016-01-19,NB,NB,2016,1,0.0,1
Bronx,2128909,3028,48,206.0,2016-03-25,2016-03-25,NB,NB,2016,3,0.0,1
Manhattan,1089434,1485,15,108.0,2016-12-16,2016-12-16,NB,NB,2016,12,0.0,1
Bronx,2124426,3731,33,209.0,2015-01-22,2015-01-22,NB,NB,2015,1,0.0,1
Queens,4154426,7184,1,408.0,2015-09-04,2015-09-04,NB,NB,2015,9,0.0,1
Brooklyn,3404966,1871,30,303.0,2017-03-15,2017-03-15,NB,NB,2017,3,0.0,1
Brooklyn,3411833,4124,31,305.0,2019-10-11,2019-10-11,NB,NB,2019,10,0.0,1
Brooklyn,3205375,7473,9,315.0,2017-09-06,2017-09-06,NB,NB,2017,9,0.0,1
Bronx,2042481,4008,1,206.0,2016-04-22,2016-04-22,NB,NB,2016,4,0.0,1
Queens,4616955,15609,10,414.0,2017-08-25,2017-08-25,NB,NB,2017,8,0.0,1
Staten Island,5169077,3803,29,502.0,2017-06-22,2017-06-22,NB,NB,2017,6,0.0,1
Brooklyn,3418133,3451,9,304.0,2016-07-06,2017-03-10,NB,NB,2016,7,247.0,1
Queens,4117438,5202,42,407.0,2017-03-20,2017-03-20,NB,NB,2017,3,0.0,1
Brooklyn,3421389,330,48,306.0,2017-04-07,2017-04-07,NB,NB,2017,4,0.0,1
Queens,4146072,6727,34,407.0,2016-06-30,2016-06-30,NB,NB,2016,6,0.0,1
Bronx,2128434,5715,187,208.0,2017-01-27,2017-11-08,NB,NB,2017,1,285.0,1
Brooklyn,3425402,2559,24,301.0,2017-11-03,2017-11-06,NB,NB,2017,11,3.0,1
Queens,4615090,15950,7501,414.0,2017-11-08,2017-11-08,NB,NB,2017,11,0.0,1
Bronx,2127104,2351,50,201.0,2017-11-13,2017-11-13,NB,NB,2017,11,0.0,1
Bronx,2127104,2351,50,201.0,2017-11-14,2017-11-14,NB,NB,2017,11,0.0,1
Brooklyn,3845877,5404,40,312.0,2017-11-16,2017-11-16,NB,NB,2017,11,0.0,1
Queens,4617742,475,30,401.0,2015-01-26,2015-07-14,NB,NB,2015,1,169.0,1
Brooklyn,3425405,1788,24,303.0,2015-08-07,2015-08-07,NB,NB,2015,8,0.0,1
Brooklyn,3425480,5517,14,312.0,2015-10-14,2015-10-14,NB,NB,2015,10,0.0,1
Brooklyn,3425495,3043,27,301.0,2015-11-12,2015-11-12,NB,NB,2015,11,0.0,1
Queens,4617743,598,6,401.0,2015-12-28,2015-12-28,NB,NB,2015,12,0.0,1
Brooklyn,3425311,2295,21,301.0,2016-09-01,2016-09-01,NB,NB,2016,9,0.0,1
Brooklyn,3425167,1601,15,303.0,2016-12-12,2016-12-12,NB,NB,2016,12,0.0,1
